range,impr_color_deg,impr_shape_deg,impr_color_shuf_mean_or_single,impr_shape_shuf_mean_or_single,impr_color_shuf_sem,impr_shape_shuf_sem
0.02,6.760433212653226,10.109287121186,0.8832151613268138,1.7570125364058702,0.36725317046953604,0.21015121744197912
0.04,10.304080509003057,18.806019425534252,2.6586681941494237,3.4140670046046866,0.6350404941849981,0.3926273616158877
0.06,13.357756404031328,25.609632488417702,4.614485097400528,4.892535493051809,0.8624486809001223,0.5560648367332072
0.08,16.198437468213037,31.197778235943126,6.502377979777319,6.301398347564061,1.0677135130836157,0.7097700555965941
0.1,18.867756609641724,35.91753730686078,8.233678068006501,7.563586535130372,1.2525677364097034,0.8299728849197651
0.14,23.719273268970014,43.47958269791635,11.211056823378565,9.458931134585855,1.55565921885232,1.0302569722107053
0.18,27.98392251033957,49.264771619287195,13.72821035573403,10.5137318021849,1.7812418318520666,1.2531396644609023
0.22,31.758455889116647,53.79077708631932,15.996266860708065,11.181953056097159,1.9617790292292134,1.4812270838050707
0.26,35.11038490798762,57.33101063965344,18.11418885364462,11.979570758931215,2.136536813377774,1.69837129999871
0.3,38.066817602911854,60.007357273302546,19.87050717560615,12.665550805529797,2.291738023350841,1.9264673482298684
